[0.7354]: 6xpfB 6xpfA
ZnT8_00_01_unrelaxed_rank_1_model_3: 0.8012 0.8454
ZnT8_00_01_unrelaxed_rank_2_model_2: 0.7585 0.8460
ZnT8_00_01_unrelaxed_rank_3_model_1: 0.7731 0.8455
ZnT8_00_01_unrelaxed_rank_4_model_5: 0.7669 0.8420
ZnT8_00_01_unrelaxed_rank_5_model_4: 0.7608 0.8399
ZnT8_00_02_unrelaxed_rank_1_model_3: 0.8773 0.8249
ZnT8_00_02_unrelaxed_rank_2_model_2: 0.7626 0.8499
ZnT8_00_02_unrelaxed_rank_3_model_1: 0.7656 0.8458
ZnT8_00_02_unrelaxed_rank_4_model_5: 0.7649 0.8425
ZnT8_00_02_unrelaxed_rank_5_model_4: 0.7640 0.8389
ZnT8_00_03_unrelaxed_rank_1_model_3: 0.8036 0.8454
ZnT8_00_03_unrelaxed_rank_2_model_2: 0.7566 0.8470
ZnT8_00_03_unrelaxed_rank_3_model_5: 0.7681 0.8442
ZnT8_00_03_unrelaxed_rank_4_model_1: 0.7731 0.8455
ZnT8_00_03_unrelaxed_rank_5_model_4: 0.7591 0.8354
ZnT8_01_01_unrelaxed_rank_1_model_3: 0.7567 0.8408
ZnT8_01_01_unrelaxed_rank_2_model_1: 0.7923 0.8879
ZnT8_01_01_unrelaxed_rank_3_model_4: 0.7338 0.8189
ZnT8_01_01_unrelaxed_rank_4_model_2: 0.7401 0.8348
ZnT8_01_01_unrelaxed_rank_5_model_5: 0.7351 0.8225
ZnT8_01_02_unrelaxed_rank_1_model_3: 0.7549 0.8351
ZnT8_01_02_unrelaxed_rank_2_model_1: 0.7978 0.8875
ZnT8_01_02_unrelaxed_rank_3_model_2: 0.7447 0.8335
ZnT8_01_02_unrelaxed_rank_4_model_5: 0.7321 0.8203
ZnT8_01_02_unrelaxed_rank_5_model_4: 0.7346 0.8182
ZnT8_01_03_unrelaxed_rank_1_model_3: 0.7645 0.8430
ZnT8_01_03_unrelaxed_rank_2_model_1: 0.7949 0.8878
ZnT8_01_03_unrelaxed_rank_3_model_5: 0.7322 0.8199
ZnT8_01_03_unrelaxed_rank_4_model_2: 0.7428 0.8374
ZnT8_01_03_unrelaxed_rank_5_model_4: 0.7376 0.8229
ZnT8_02_01_unrelaxed_rank_1_model_3: 0.9352 0.7054
ZnT8_02_01_unrelaxed_rank_2_model_5: 0.9342 0.7074
ZnT8_02_01_unrelaxed_rank_3_model_4: 0.9375 0.7104
ZnT8_02_01_unrelaxed_rank_4_model_2: 0.9335 0.7141
ZnT8_02_01_unrelaxed_rank_5_model_1: 0.9305 0.7337
ZnT8_02_02_unrelaxed_rank_1_model_3: 0.9352 0.7049
ZnT8_02_02_unrelaxed_rank_2_model_5: 0.9327 0.7070
ZnT8_02_02_unrelaxed_rank_3_model_4: 0.9344 0.7106
ZnT8_02_02_unrelaxed_rank_4_model_2: 0.9314 0.7141
ZnT8_02_02_unrelaxed_rank_5_model_1: 0.9251 0.7385
ZnT8_02_03_unrelaxed_rank_1_model_3: 0.9329 0.7047
ZnT8_02_03_unrelaxed_rank_2_model_4: 0.9360 0.7096
ZnT8_02_03_unrelaxed_rank_3_model_5: 0.9317 0.7066
ZnT8_02_03_unrelaxed_rank_4_model_2: 0.9315 0.7164
ZnT8_02_03_unrelaxed_rank_5_model_1: 0.9256 0.7426
ZnT8_03_01_unrelaxed_rank_1_model_3: 0.9329 0.7054
ZnT8_03_01_unrelaxed_rank_2_model_5: 0.9368 0.7076
ZnT8_03_01_unrelaxed_rank_3_model_1: 0.9412 0.7177
ZnT8_03_01_unrelaxed_rank_4_model_4: 0.9351 0.7064
ZnT8_03_01_unrelaxed_rank_5_model_2: 0.9411 0.7190
ZnT8_03_02_unrelaxed_rank_1_model_3: 0.9348 0.7063
ZnT8_03_02_unrelaxed_rank_2_model_5: 0.9368 0.7096
ZnT8_03_02_unrelaxed_rank_3_model_1: 0.9411 0.7173
ZnT8_03_02_unrelaxed_rank_4_model_4: 0.9352 0.7062
ZnT8_03_02_unrelaxed_rank_5_model_2: 0.9422 0.7189
ZnT8_03_03_unrelaxed_rank_1_model_3: 0.9351 0.7069
ZnT8_03_03_unrelaxed_rank_2_model_1: 0.9417 0.7189
ZnT8_03_03_unrelaxed_rank_3_model_5: 0.9385 0.7113
ZnT8_03_03_unrelaxed_rank_4_model_4: 0.9388 0.7081
ZnT8_03_03_unrelaxed_rank_5_model_2: 0.9414 0.7194
ZnT8_04_01_unrelaxed_rank_1_model_3: 0.8414 0.8563
ZnT8_04_01_unrelaxed_rank_2_model_1: 0.8270 0.8634
ZnT8_04_01_unrelaxed_rank_3_model_5: 0.8119 0.8672
ZnT8_04_01_unrelaxed_rank_4_model_2: 0.8167 0.8942
ZnT8_04_01_unrelaxed_rank_5_model_4: 0.8294 0.8715
ZnT8_04_02_unrelaxed_rank_1_model_3: 0.8386 0.8551
ZnT8_04_02_unrelaxed_rank_2_model_1: 0.8216 0.8668
ZnT8_04_02_unrelaxed_rank_3_model_2: 0.8162 0.8933
ZnT8_04_02_unrelaxed_rank_4_model_5: 0.8562 0.8491
ZnT8_04_02_unrelaxed_rank_5_model_4: 0.8252 0.8735
ZnT8_04_03_unrelaxed_rank_1_model_3: 0.8346 0.8612
ZnT8_04_03_unrelaxed_rank_2_model_1: 0.8273 0.8635
ZnT8_04_03_unrelaxed_rank_3_model_5: 0.8146 0.8703
ZnT8_04_03_unrelaxed_rank_4_model_2: 0.8146 0.8970
ZnT8_04_03_unrelaxed_rank_5_model_4: 0.8084 0.8896
ZnT8_05_01_unrelaxed_rank_1_model_3: 0.8409 0.8617
ZnT8_05_01_unrelaxed_rank_2_model_1: 0.8108 0.8968
ZnT8_05_01_unrelaxed_rank_3_model_2: 0.7657 0.9174
ZnT8_05_01_unrelaxed_rank_4_model_5: 0.7930 0.8968
ZnT8_05_01_unrelaxed_rank_5_model_4: 0.7875 0.9031
ZnT8_05_02_unrelaxed_rank_1_model_3: 0.8356 0.8605
ZnT8_05_02_unrelaxed_rank_2_model_1: 0.8249 0.8699
ZnT8_05_02_unrelaxed_rank_3_model_2: 0.7651 0.9171
ZnT8_05_02_unrelaxed_rank_4_model_5: 0.7957 0.8938
ZnT8_05_02_unrelaxed_rank_5_model_4: 0.7867 0.8862
ZnT8_05_03_unrelaxed_rank_1_model_3: 0.8232 0.8763
ZnT8_05_03_unrelaxed_rank_2_model_1: 0.8178 0.8815
ZnT8_05_03_unrelaxed_rank_3_model_2: 0.7701 0.9081
ZnT8_05_03_unrelaxed_rank_4_model_5: 0.7936 0.8956
ZnT8_05_03_unrelaxed_rank_5_model_4: 0.7835 0.8896
ZnT8_06_01_unrelaxed_rank_1_model_3: 0.8061 0.8505
ZnT8_06_01_unrelaxed_rank_2_model_1: 0.7721 0.8463
ZnT8_06_01_unrelaxed_rank_3_model_2: 0.7656 0.8640
ZnT8_06_01_unrelaxed_rank_4_model_5: 0.7674 0.8449
ZnT8_06_01_unrelaxed_rank_5_model_4: 0.7574 0.8440
ZnT8_06_02_unrelaxed_rank_1_model_3: 0.7993 0.8509
ZnT8_06_02_unrelaxed_rank_2_model_2: 0.7576 0.8545
ZnT8_06_02_unrelaxed_rank_3_model_1: 0.7764 0.8453
ZnT8_06_02_unrelaxed_rank_4_model_5: 0.7766 0.8501
ZnT8_06_02_unrelaxed_rank_5_model_4: 0.7577 0.8418
ZnT8_06_03_unrelaxed_rank_1_model_3: 0.8209 0.8481
ZnT8_06_03_unrelaxed_rank_2_model_1: 0.7711 0.8458
ZnT8_06_03_unrelaxed_rank_3_model_2: 0.7587 0.8520
ZnT8_06_03_unrelaxed_rank_4_model_5: 0.7675 0.8443
ZnT8_06_03_unrelaxed_rank_5_model_4: 0.7620 0.8390
ZnT8_07_01_unrelaxed_rank_1_model_3: 0.8008 0.8470
ZnT8_07_01_unrelaxed_rank_2_model_1: 0.8008 0.8483
ZnT8_07_01_unrelaxed_rank_3_model_2: 0.7634 0.8862
ZnT8_07_01_unrelaxed_rank_4_model_5: 0.7939 0.8673
ZnT8_07_01_unrelaxed_rank_5_model_4: 0.8052 0.8660
ZnT8_07_02_unrelaxed_rank_1_model_3: 0.8113 0.8509
ZnT8_07_02_unrelaxed_rank_2_model_1: 0.8036 0.8510
ZnT8_07_02_unrelaxed_rank_3_model_2: 0.7567 0.8913
ZnT8_07_02_unrelaxed_rank_4_model_5: 0.7944 0.8814
ZnT8_07_02_unrelaxed_rank_5_model_4: 0.7841 0.8697
ZnT8_07_03_unrelaxed_rank_1_model_3: 0.8130 0.8532
ZnT8_07_03_unrelaxed_rank_2_model_1: 0.8065 0.8542
ZnT8_07_03_unrelaxed_rank_3_model_2: 0.7517 0.8939
ZnT8_07_03_unrelaxed_rank_4_model_5: 0.7898 0.8819
ZnT8_07_03_unrelaxed_rank_5_model_4: 0.7982 0.8717
ZnT8_08_01_unrelaxed_rank_1_model_3: 0.7528 0.8468
ZnT8_08_01_unrelaxed_rank_2_model_2: 0.7548 0.8510
ZnT8_08_01_unrelaxed_rank_3_model_1: 0.7552 0.8376
ZnT8_08_01_unrelaxed_rank_4_model_5: 0.7490 0.8430
ZnT8_08_01_unrelaxed_rank_5_model_4: 0.7370 0.8441
ZnT8_08_02_unrelaxed_rank_1_model_3: 0.7509 0.8450
ZnT8_08_02_unrelaxed_rank_2_model_1: 0.7646 0.8401
ZnT8_08_02_unrelaxed_rank_3_model_2: 0.7561 0.8482
ZnT8_08_02_unrelaxed_rank_4_model_4: 0.7402 0.8411
ZnT8_08_02_unrelaxed_rank_5_model_5: 0.7464 0.8402
ZnT8_08_03_unrelaxed_rank_1_model_3: 0.7534 0.8445
ZnT8_08_03_unrelaxed_rank_2_model_4: 0.7380 0.8422
ZnT8_08_03_unrelaxed_rank_3_model_2: 0.7560 0.8470
ZnT8_08_03_unrelaxed_rank_4_model_1: 0.7503 0.8394
ZnT8_08_03_unrelaxed_rank_5_model_5: 0.7458 0.8478
ZnT8_09_01_unrelaxed_rank_1_model_3: 0.9418 0.7147
ZnT8_09_01_unrelaxed_rank_2_model_2: 0.9242 0.7190
ZnT8_09_01_unrelaxed_rank_3_model_1: 0.8400 0.8438
ZnT8_09_01_unrelaxed_rank_4_model_5: 0.8703 0.8354
ZnT8_09_01_unrelaxed_rank_5_model_4: 0.9233 0.7415
ZnT8_09_02_unrelaxed_rank_1_model_3: 0.9425 0.7219
ZnT8_09_02_unrelaxed_rank_2_model_1: 0.8383 0.8437
ZnT8_09_02_unrelaxed_rank_3_model_4: 0.9390 0.7248
ZnT8_09_02_unrelaxed_rank_4_model_2: 0.8867 0.7495
ZnT8_09_02_unrelaxed_rank_5_model_5: 0.8636 0.8389
ZnT8_09_03_unrelaxed_rank_1_model_3: 0.9422 0.7204
ZnT8_09_03_unrelaxed_rank_2_model_1: 0.8121 0.8493
ZnT8_09_03_unrelaxed_rank_3_model_2: 0.9156 0.7285
ZnT8_09_03_unrelaxed_rank_4_model_5: 0.8266 0.8571
ZnT8_09_03_unrelaxed_rank_5_model_4: 0.9189 0.7447
ZnT8_10_01_unrelaxed_rank_1_model_3: 0.9237 0.6904
ZnT8_10_01_unrelaxed_rank_2_model_5: 0.9070 0.6723
ZnT8_10_01_unrelaxed_rank_3_model_4: 0.9267 0.6933
ZnT8_10_01_unrelaxed_rank_4_model_1: 0.9056 0.7335
ZnT8_10_01_unrelaxed_rank_5_model_2: 0.9150 0.6993
ZnT8_10_02_unrelaxed_rank_1_model_3: 0.9240 0.6907
ZnT8_10_02_unrelaxed_rank_2_model_5: 0.9063 0.6715
ZnT8_10_02_unrelaxed_rank_3_model_4: 0.9280 0.6968
ZnT8_10_02_unrelaxed_rank_4_model_1: 0.9128 0.7431
ZnT8_10_02_unrelaxed_rank_5_model_2: 0.9174 0.6934
ZnT8_10_03_unrelaxed_rank_1_model_3: 0.9237 0.6891
ZnT8_10_03_unrelaxed_rank_2_model_5: 0.9050 0.6695
