[0.91929]: 7f1qp 5uiwp
CCR5_00_01_unrelaxed_rank_1_model_3: 0.9185 0.9782
CCR5_00_01_unrelaxed_rank_2_model_5: 0.9191 0.9765
CCR5_00_01_unrelaxed_rank_3_model_1: 0.9622 0.9472
CCR5_00_01_unrelaxed_rank_4_model_4: 0.9626 0.9530
CCR5_00_01_unrelaxed_rank_5_model_2: 0.9243 0.9769
CCR5_00_02_unrelaxed_rank_1_model_3: 0.9192 0.9799
CCR5_00_02_unrelaxed_rank_2_model_4: 0.9201 0.9794
CCR5_00_02_unrelaxed_rank_3_model_5: 0.9167 0.9758
CCR5_00_02_unrelaxed_rank_4_model_1: 0.9633 0.9467
CCR5_00_02_unrelaxed_rank_5_model_2: 0.9248 0.9765
CCR5_00_03_unrelaxed_rank_1_model_3: 0.9195 0.9796
CCR5_00_03_unrelaxed_rank_2_model_5: 0.9180 0.9771
CCR5_00_03_unrelaxed_rank_3_model_4: 0.9203 0.9799
CCR5_00_03_unrelaxed_rank_4_model_1: 0.9636 0.9477
CCR5_00_03_unrelaxed_rank_5_model_2: 0.9262 0.9767
CCR5_01_01_unrelaxed_rank_1_model_3: 0.9122 0.9652
CCR5_01_01_unrelaxed_rank_2_model_4: 0.9527 0.9435
CCR5_01_01_unrelaxed_rank_3_model_1: 0.9540 0.9362
CCR5_01_01_unrelaxed_rank_4_model_5: 0.9580 0.9441
CCR5_01_01_unrelaxed_rank_5_model_2: 0.9482 0.9345
CCR5_01_02_unrelaxed_rank_1_model_3: 0.9118 0.9649
CCR5_01_02_unrelaxed_rank_2_model_1: 0.9546 0.9351
CCR5_01_02_unrelaxed_rank_3_model_4: 0.9547 0.9456
CCR5_01_02_unrelaxed_rank_4_model_5: 0.9620 0.9466
CCR5_01_02_unrelaxed_rank_5_model_2: 0.9541 0.9391
CCR5_01_03_unrelaxed_rank_1_model_3: 0.9123 0.9659
CCR5_01_03_unrelaxed_rank_2_model_1: 0.9531 0.9355
CCR5_01_03_unrelaxed_rank_3_model_4: 0.9558 0.9436
CCR5_01_03_unrelaxed_rank_4_model_2: 0.9158 0.9651
CCR5_01_03_unrelaxed_rank_5_model_5: 0.9591 0.9449
CCR5_02_01_unrelaxed_rank_1_model_3: 0.9560 0.9318
CCR5_02_01_unrelaxed_rank_2_model_1: 0.9086 0.8975
CCR5_02_01_unrelaxed_rank_3_model_2: 0.8837 0.8638
CCR5_02_01_unrelaxed_rank_4_model_4: 0.9631 0.9276
CCR5_02_01_unrelaxed_rank_5_model_5: 0.9616 0.9339
