[0.74656]: 6fhzp 3vvnp
PfMATE_00_01_unrelaxed_rank_1_model_5: 0.7351 0.9893
PfMATE_00_01_unrelaxed_rank_2_model_4: 0.7401 0.9915
PfMATE_00_01_unrelaxed_rank_3_model_2: 0.7338 0.9897
PfMATE_00_01_unrelaxed_rank_4_model_3: 0.7365 0.9914
PfMATE_00_01_unrelaxed_rank_5_model_1: 0.7315 0.9875
PfMATE_00_02_unrelaxed_rank_1_model_5: 0.7367 0.9899
PfMATE_00_02_unrelaxed_rank_2_model_4: 0.7382 0.9913
PfMATE_00_02_unrelaxed_rank_3_model_3: 0.7338 0.9905
PfMATE_00_02_unrelaxed_rank_4_model_2: 0.7309 0.9887
PfMATE_00_02_unrelaxed_rank_5_model_1: 0.7327 0.9880
PfMATE_00_03_unrelaxed_rank_1_model_5: 0.7345 0.9889
PfMATE_00_03_unrelaxed_rank_2_model_4: 0.7373 0.9912
PfMATE_00_03_unrelaxed_rank_3_model_2: 0.7323 0.9889
PfMATE_00_03_unrelaxed_rank_4_model_3: 0.7349 0.9909
PfMATE_00_03_unrelaxed_rank_5_model_1: 0.7314 0.9873
PfMATE_01_01_unrelaxed_rank_1_model_5: 0.7318 0.9843
PfMATE_01_01_unrelaxed_rank_2_model_4: 0.7348 0.9874
PfMATE_01_01_unrelaxed_rank_3_model_2: 0.7175 0.9844
PfMATE_01_01_unrelaxed_rank_4_model_3: 0.7304 0.9882
PfMATE_01_01_unrelaxed_rank_5_model_1: 0.7297 0.9865
PfMATE_01_02_unrelaxed_rank_1_model_5: 0.7307 0.9845
PfMATE_01_02_unrelaxed_rank_2_model_4: 0.7310 0.9839
PfMATE_01_02_unrelaxed_rank_3_model_3: 0.7301 0.9878
PfMATE_01_02_unrelaxed_rank_4_model_2: 0.7265 0.9856
PfMATE_01_02_unrelaxed_rank_5_model_1: 0.7288 0.9851
PfMATE_01_03_unrelaxed_rank_1_model_5: 0.7363 0.9859
PfMATE_01_03_unrelaxed_rank_2_model_4: 0.7294 0.9843
PfMATE_01_03_unrelaxed_rank_3_model_3: 0.7315 0.9880
PfMATE_01_03_unrelaxed_rank_4_model_2: 0.7197 0.9850
PfMATE_01_03_unrelaxed_rank_5_model_1: 0.7217 0.9846
PfMATE_02_01_unrelaxed_rank_1_model_5: 0.7386 0.9912
PfMATE_02_01_unrelaxed_rank_2_model_4: 0.7368 0.9908
PfMATE_02_01_unrelaxed_rank_3_model_2: 0.7272 0.9879
PfMATE_02_01_unrelaxed_rank_4_model_3: 0.7358 0.9911
PfMATE_02_01_unrelaxed_rank_5_model_1: 0.7292 0.9876
PfMATE_02_02_unrelaxed_rank_1_model_5: 0.7361 0.9903
PfMATE_02_02_unrelaxed_rank_2_model_4: 0.7371 0.9907
PfMATE_02_02_unrelaxed_rank_3_model_3: 0.7363 0.9917
PfMATE_02_02_unrelaxed_rank_4_model_2: 0.7261 0.9870
PfMATE_02_02_unrelaxed_rank_5_model_1: 0.7299 0.9875
PfMATE_02_03_unrelaxed_rank_1_model_5: 0.7398 0.9913
PfMATE_02_03_unrelaxed_rank_2_model_2: 0.7261 0.9868
PfMATE_02_03_unrelaxed_rank_3_model_3: 0.7360 0.9912
PfMATE_02_03_unrelaxed_rank_4_model_4: 0.7393 0.9912
PfMATE_02_03_unrelaxed_rank_5_model_1: 0.7294 0.9874
PfMATE_03_01_unrelaxed_rank_1_model_5: 0.7433 0.9888
PfMATE_03_01_unrelaxed_rank_2_model_3: 0.7307 0.9845
PfMATE_03_01_unrelaxed_rank_3_model_4: 0.7401 0.9891
PfMATE_03_01_unrelaxed_rank_4_model_2: 0.7349 0.9859
PfMATE_03_01_unrelaxed_rank_5_model_1: 0.7297 0.9815
PfMATE_03_02_unrelaxed_rank_1_model_3: 0.7258 0.9804
PfMATE_03_02_unrelaxed_rank_2_model_5: 0.7417 0.9882
PfMATE_03_02_unrelaxed_rank_3_model_4: 0.7362 0.9849
PfMATE_03_02_unrelaxed_rank_4_model_2: 0.7341 0.9852
PfMATE_03_02_unrelaxed_rank_5_model_1: 0.7289 0.9799
PfMATE_03_03_unrelaxed_rank_1_model_5: 0.7421 0.9876
PfMATE_03_03_unrelaxed_rank_2_model_3: 0.7322 0.9843
PfMATE_03_03_unrelaxed_rank_3_model_4: 0.7400 0.9882
PfMATE_03_03_unrelaxed_rank_4_model_2: 0.7288 0.9843
PfMATE_03_03_unrelaxed_rank_5_model_1: 0.7307 0.9799
PfMATE_04_01_unrelaxed_rank_1_model_2: 0.7523 0.9903
PfMATE_04_01_unrelaxed_rank_2_model_1: 0.7536 0.9891
PfMATE_04_01_unrelaxed_rank_3_model_5: 0.7584 0.9879
PfMATE_04_01_unrelaxed_rank_4_model_3: 0.7479 0.9920
PfMATE_04_01_unrelaxed_rank_5_model_4: 0.7603 0.9878
PfMATE_04_02_unrelaxed_rank_1_model_5: 0.7586 0.9880
PfMATE_04_02_unrelaxed_rank_2_model_1: 0.7518 0.9896
PfMATE_04_02_unrelaxed_rank_3_model_2: 0.7508 0.9906
PfMATE_04_02_unrelaxed_rank_4_model_4: 0.7590 0.9885
PfMATE_04_02_unrelaxed_rank_5_model_3: 0.7451 0.9916
PfMATE_04_03_unrelaxed_rank_1_model_5: 0.7580 0.9882
PfMATE_04_03_unrelaxed_rank_2_model_3: 0.7496 0.9914
PfMATE_04_03_unrelaxed_rank_3_model_1: 0.7528 0.9894
PfMATE_04_03_unrelaxed_rank_4_model_2: 0.7518 0.9903
PfMATE_04_03_unrelaxed_rank_5_model_4: 0.7587 0.9885
PfMATE_05_01_unrelaxed_rank_1_model_5: 0.7322 0.9867
PfMATE_05_01_unrelaxed_rank_2_model_2: 0.7291 0.9879
PfMATE_05_01_unrelaxed_rank_3_model_3: 0.7346 0.9897
PfMATE_05_01_unrelaxed_rank_4_model_4: 0.7366 0.9890
PfMATE_05_01_unrelaxed_rank_5_model_1: 0.7252 0.9848
PfMATE_05_02_unrelaxed_rank_1_model_5: 0.7338 0.9874
PfMATE_05_02_unrelaxed_rank_2_model_4: 0.7362 0.9892
PfMATE_05_02_unrelaxed_rank_3_model_2: 0.7288 0.9876
PfMATE_05_02_unrelaxed_rank_4_model_3: 0.7342 0.9890
PfMATE_05_02_unrelaxed_rank_5_model_1: 0.7255 0.9847
PfMATE_05_03_unrelaxed_rank_1_model_5: 0.7345 0.9880
PfMATE_05_03_unrelaxed_rank_2_model_4: 0.7361 0.9889
PfMATE_05_03_unrelaxed_rank_3_model_3: 0.7345 0.9895
PfMATE_05_03_unrelaxed_rank_4_model_2: 0.7320 0.9890
PfMATE_05_03_unrelaxed_rank_5_model_1: 0.7273 0.9857
PfMATE_06_01_unrelaxed_rank_1_model_4: 0.7466 0.9886
PfMATE_06_01_unrelaxed_rank_2_model_2: 0.7367 0.9872
PfMATE_06_01_unrelaxed_rank_3_model_5: 0.7424 0.9867
PfMATE_06_01_unrelaxed_rank_4_model_3: 0.7429 0.9881
PfMATE_06_01_unrelaxed_rank_5_model_1: 0.7350 0.9856
PfMATE_06_02_unrelaxed_rank_1_model_4: 0.7421 0.9863
PfMATE_06_02_unrelaxed_rank_2_model_2: 0.7326 0.9848
PfMATE_06_02_unrelaxed_rank_3_model_3: 0.7412 0.9874
PfMATE_06_02_unrelaxed_rank_4_model_5: 0.7379 0.9854
PfMATE_06_02_unrelaxed_rank_5_model_1: 0.7343 0.9846
PfMATE_06_03_unrelaxed_rank_1_model_4: 0.7455 0.9874
PfMATE_06_03_unrelaxed_rank_2_model_2: 0.7346 0.9855
PfMATE_06_03_unrelaxed_rank_3_model_3: 0.7417 0.9878
PfMATE_06_03_unrelaxed_rank_4_model_5: 0.7407 0.9864
PfMATE_06_03_unrelaxed_rank_5_model_1: 0.7362 0.9862
PfMATE_07_01_unrelaxed_rank_1_model_3: 0.7139 0.9737
PfMATE_07_01_unrelaxed_rank_2_model_4: 0.7140 0.9729
PfMATE_07_01_unrelaxed_rank_3_model_5: 0.7131 0.9726
PfMATE_07_01_unrelaxed_rank_4_model_2: 0.7065 0.9686
PfMATE_07_01_unrelaxed_rank_5_model_1: 0.7076 0.9667
PfMATE_07_02_unrelaxed_rank_1_model_3: 0.7145 0.9749
