[0.68184]: 1ake 4ake
3HPQ_00_01_unrelaxed_rank_1_model_3: 0.9821 0.6889
3HPQ_00_01_unrelaxed_rank_2_model_1: 0.9151 0.7191
3HPQ_00_01_unrelaxed_rank_3_model_2: 0.9297 0.7149
3HPQ_00_01_unrelaxed_rank_4_model_5: 0.9503 0.7029
3HPQ_00_01_unrelaxed_rank_5_model_4: 0.9729 0.7107
3HPQ_00_02_unrelaxed_rank_1_model_3: 0.9816 0.6880
3HPQ_00_02_unrelaxed_rank_2_model_1: 0.9086 0.7252
3HPQ_00_02_unrelaxed_rank_3_model_2: 0.9272 0.7176
3HPQ_00_02_unrelaxed_rank_4_model_5: 0.9723 0.6982
3HPQ_00_02_unrelaxed_rank_5_model_4: 0.9769 0.7063
3HPQ_00_03_unrelaxed_rank_1_model_3: 0.9807 0.6881
3HPQ_00_03_unrelaxed_rank_2_model_1: 0.9085 0.7251
3HPQ_00_03_unrelaxed_rank_3_model_4: 0.9517 0.7103
3HPQ_00_03_unrelaxed_rank_4_model_2: 0.9301 0.7177
3HPQ_00_03_unrelaxed_rank_5_model_5: 0.9514 0.7028
3HPQ_01_01_unrelaxed_rank_1_model_3: 0.8834 0.6139
3HPQ_01_01_unrelaxed_rank_2_model_1: 0.8907 0.6238
3HPQ_01_01_unrelaxed_rank_3_model_4: 0.8888 0.6218
3HPQ_01_01_unrelaxed_rank_4_model_5: 0.8602 0.6321
3HPQ_01_01_unrelaxed_rank_5_model_2: 0.8873 0.6279
3HPQ_01_02_unrelaxed_rank_1_model_4: 0.8962 0.6204
3HPQ_01_02_unrelaxed_rank_2_model_3: 0.8812 0.6091
3HPQ_01_02_unrelaxed_rank_3_model_1: 0.8700 0.6297
3HPQ_01_02_unrelaxed_rank_4_model_2: 0.8847 0.6195
3HPQ_01_02_unrelaxed_rank_5_model_5: 0.8711 0.6424
3HPQ_01_03_unrelaxed_rank_1_model_3: 0.8863 0.6117
3HPQ_01_03_unrelaxed_rank_2_model_4: 0.8960 0.6207
3HPQ_01_03_unrelaxed_rank_3_model_1: 0.8614 0.6181
3HPQ_01_03_unrelaxed_rank_4_model_2: 0.8797 0.6218
3HPQ_01_03_unrelaxed_rank_5_model_5: 0.8697 0.6331
3HPQ_02_01_unrelaxed_rank_1_model_3: 0.9142 0.6672
3HPQ_02_01_unrelaxed_rank_2_model_1: 0.9046 0.6746
3HPQ_02_01_unrelaxed_rank_3_model_2: 0.9133 0.6736
3HPQ_02_01_unrelaxed_rank_4_model_5: 0.9262 0.6667
3HPQ_02_01_unrelaxed_rank_5_model_4: 0.9242 0.6916
3HPQ_02_02_unrelaxed_rank_1_model_3: 0.9183 0.6680
3HPQ_02_02_unrelaxed_rank_2_model_1: 0.9039 0.6768
3HPQ_02_02_unrelaxed_rank_3_model_2: 0.9100 0.6766
3HPQ_02_02_unrelaxed_rank_4_model_5: 0.9274 0.6692
3HPQ_02_02_unrelaxed_rank_5_model_4: 0.9170 0.6959
3HPQ_02_03_unrelaxed_rank_1_model_3: 0.9206 0.6672
3HPQ_02_03_unrelaxed_rank_2_model_1: 0.9075 0.6754
3HPQ_02_03_unrelaxed_rank_3_model_2: 0.9179 0.6714
3HPQ_02_03_unrelaxed_rank_4_model_5: 0.9289 0.6674
3HPQ_02_03_unrelaxed_rank_5_model_4: 0.9337 0.6758
3HPQ_03_01_unrelaxed_rank_1_model_3: 0.9270 0.6592
3HPQ_03_01_unrelaxed_rank_2_model_1: 0.8496 0.6621
3HPQ_03_01_unrelaxed_rank_3_model_5: 0.9049 0.6869
3HPQ_03_01_unrelaxed_rank_4_model_4: 0.9189 0.6924
3HPQ_03_01_unrelaxed_rank_5_model_2: 0.8416 0.7236
3HPQ_03_02_unrelaxed_rank_1_model_3: 0.9232 0.6757
3HPQ_03_02_unrelaxed_rank_2_model_1: 0.8437 0.6674
3HPQ_03_02_unrelaxed_rank_3_model_4: 0.8973 0.6954
3HPQ_03_02_unrelaxed_rank_4_model_5: 0.8928 0.6932
3HPQ_03_02_unrelaxed_rank_5_model_2: 0.8453 0.7216
3HPQ_03_03_unrelaxed_rank_1_model_3: 0.9231 0.6721
3HPQ_03_03_unrelaxed_rank_2_model_1: 0.8429 0.6681
3HPQ_03_03_unrelaxed_rank_3_model_5: 0.8928 0.6941
3HPQ_03_03_unrelaxed_rank_4_model_2: 0.8244 0.7315
3HPQ_03_03_unrelaxed_rank_5_model_4: 0.8664 0.7202
3HPQ_04_01_unrelaxed_rank_1_model_3: 0.7859 0.8062
3HPQ_04_01_unrelaxed_rank_2_model_1: 0.7331 0.8546
3HPQ_04_01_unrelaxed_rank_3_model_4: 0.7470 0.8515
3HPQ_04_01_unrelaxed_rank_4_model_2: 0.7673 0.8429
3HPQ_04_01_unrelaxed_rank_5_model_5: 0.7782 0.8260
3HPQ_04_02_unrelaxed_rank_1_model_3: 0.7639 0.8343
3HPQ_04_02_unrelaxed_rank_2_model_1: 0.7341 0.8626
3HPQ_04_02_unrelaxed_rank_3_model_4: 0.7379 0.8584
3HPQ_04_02_unrelaxed_rank_4_model_2: 0.7585 0.8487
3HPQ_04_02_unrelaxed_rank_5_model_5: 0.7706 0.8153
3HPQ_04_03_unrelaxed_rank_1_model_3: 0.8016 0.7892
3HPQ_04_03_unrelaxed_rank_2_model_1: 0.7419 0.8508
3HPQ_04_03_unrelaxed_rank_3_model_4: 0.7481 0.8504
3HPQ_04_03_unrelaxed_rank_4_model_2: 0.7724 0.8374
3HPQ_04_03_unrelaxed_rank_5_model_5: 0.7895 0.8010
3HPQ_05_01_unrelaxed_rank_1_model_3: 0.9795 0.6892
3HPQ_05_01_unrelaxed_rank_2_model_1: 0.8934 0.7343
3HPQ_05_01_unrelaxed_rank_3_model_2: 0.9090 0.7250
3HPQ_05_01_unrelaxed_rank_4_model_5: 0.9402 0.7053
3HPQ_05_01_unrelaxed_rank_5_model_4: 0.9620 0.7177
3HPQ_05_02_unrelaxed_rank_1_model_3: 0.9799 0.6876
3HPQ_05_02_unrelaxed_rank_2_model_1: 0.9016 0.7227
3HPQ_05_02_unrelaxed_rank_3_model_2: 0.9273 0.7137
3HPQ_05_02_unrelaxed_rank_4_model_5: 0.9593 0.6983
3HPQ_05_02_unrelaxed_rank_5_model_4: 0.9577 0.7158
3HPQ_05_03_unrelaxed_rank_1_model_3: 0.9800 0.6888
3HPQ_05_03_unrelaxed_rank_2_model_1: 0.8928 0.7355
3HPQ_05_03_unrelaxed_rank_3_model_2: 0.9274 0.7167
3HPQ_05_03_unrelaxed_rank_4_model_5: 0.9460 0.7044
3HPQ_05_03_unrelaxed_rank_5_model_4: 0.9667 0.7115
3HPQ_06_01_unrelaxed_rank_1_model_3: 0.7924 0.8364
3HPQ_06_01_unrelaxed_rank_2_model_5: 0.7783 0.8530
3HPQ_06_01_unrelaxed_rank_3_model_1: 0.7478 0.8792
3HPQ_06_01_unrelaxed_rank_4_model_4: 0.7767 0.8466
3HPQ_06_01_unrelaxed_rank_5_model_2: 0.7815 0.8299
3HPQ_06_02_unrelaxed_rank_1_model_3: 0.8013 0.8326
3HPQ_06_02_unrelaxed_rank_2_model_5: 0.7790 0.8538
3HPQ_06_02_unrelaxed_rank_3_model_1: 0.7550 0.8644
3HPQ_06_02_unrelaxed_rank_4_model_4: 0.7833 0.8348
3HPQ_06_02_unrelaxed_rank_5_model_2: 0.7802 0.8292
3HPQ_06_03_unrelaxed_rank_1_model_3: 0.8007 0.8323
3HPQ_06_03_unrelaxed_rank_2_model_1: 0.7541 0.8610
3HPQ_06_03_unrelaxed_rank_3_model_5: 0.7830 0.8490
3HPQ_06_03_unrelaxed_rank_4_model_4: 0.7812 0.8357
3HPQ_06_03_unrelaxed_rank_5_model_2: 0.7825 0.8279
3HPQ_07_01_unrelaxed_rank_1_model_3: 0.9328 0.6772
3HPQ_07_01_unrelaxed_rank_2_model_1: 0.8841 0.7056
3HPQ_07_01_unrelaxed_rank_3_model_2: 0.9121 0.7128
3HPQ_07_01_unrelaxed_rank_4_model_4: 0.9233 0.7210
3HPQ_07_01_unrelaxed_rank_5_model_5: 0.8792 0.7221
3HPQ_07_02_unrelaxed_rank_1_model_3: 0.9433 0.6739
3HPQ_07_02_unrelaxed_rank_2_model_1: 0.8844 0.7104
3HPQ_07_02_unrelaxed_rank_3_model_2: 0.9081 0.7154
3HPQ_07_02_unrelaxed_rank_4_model_4: 0.9282 0.7147
3HPQ_07_02_unrelaxed_rank_5_model_5: 0.8833 0.7135
3HPQ_07_03_unrelaxed_rank_1_model_3: 0.9437 0.6773
3HPQ_07_03_unrelaxed_rank_2_model_1: 0.8869 0.7105
3HPQ_07_03_unrelaxed_rank_3_model_2: 0.9173 0.7101
3HPQ_07_03_unrelaxed_rank_4_model_4: 0.8913 0.7310
3HPQ_07_03_unrelaxed_rank_5_model_5: 0.8935 0.7301
3HPQ_08_01_unrelaxed_rank_1_model_3: 0.9710 0.6718
3HPQ_08_01_unrelaxed_rank_2_model_1: 0.9154 0.6991
