[0.70869]: 6nc9p 5t77p
MurJ_00_01_unrelaxed_rank_1_model_5: 0.8638 0.8274
MurJ_00_01_unrelaxed_rank_2_model_3: 0.7508 0.9540
MurJ_00_01_unrelaxed_rank_3_model_2: 0.7728 0.9358
MurJ_00_01_unrelaxed_rank_4_model_1: 0.7886 0.9133
MurJ_00_01_unrelaxed_rank_5_model_4: 0.7451 0.8519
MurJ_00_02_unrelaxed_rank_1_model_5: 0.8383 0.8641
MurJ_00_02_unrelaxed_rank_2_model_3: 0.7711 0.9394
MurJ_00_02_unrelaxed_rank_3_model_2: 0.7790 0.9293
MurJ_00_02_unrelaxed_rank_4_model_4: 0.7929 0.8980
MurJ_00_02_unrelaxed_rank_5_model_1: 0.7955 0.9089
MurJ_00_03_unrelaxed_rank_1_model_3: 0.7588 0.9514
MurJ_00_03_unrelaxed_rank_2_model_4: 0.8144 0.8884
MurJ_00_03_unrelaxed_rank_3_model_5: 0.8299 0.8799
MurJ_00_03_unrelaxed_rank_4_model_2: 0.7817 0.9335
MurJ_00_03_unrelaxed_rank_5_model_1: 0.7929 0.9143
MurJ_01_01_unrelaxed_rank_1_model_3: 0.9357 0.7539
MurJ_01_01_unrelaxed_rank_2_model_4: 0.8841 0.6866
MurJ_01_01_unrelaxed_rank_3_model_2: 0.9328 0.7643
MurJ_01_01_unrelaxed_rank_4_model_5: 0.9344 0.7417
MurJ_01_01_unrelaxed_rank_5_model_1: 0.8341 0.7390
MurJ_01_02_unrelaxed_rank_1_model_3: 0.8241 0.8579
MurJ_01_02_unrelaxed_rank_2_model_5: 0.9344 0.7423
MurJ_01_02_unrelaxed_rank_3_model_2: 0.8946 0.8024
MurJ_01_02_unrelaxed_rank_4_model_4: 0.8913 0.7888
MurJ_01_02_unrelaxed_rank_5_model_1: 0.8812 0.8089
MurJ_01_03_unrelaxed_rank_1_model_3: 0.8982 0.7935
MurJ_01_03_unrelaxed_rank_2_model_5: 0.9347 0.7409
MurJ_01_03_unrelaxed_rank_3_model_4: 0.8852 0.6865
MurJ_01_03_unrelaxed_rank_4_model_2: 0.8943 0.8022
MurJ_01_03_unrelaxed_rank_5_model_1: 0.8921 0.7963
MurJ_02_01_unrelaxed_rank_1_model_3: 0.9157 0.7470
MurJ_02_01_unrelaxed_rank_2_model_5: 0.9231 0.7404
MurJ_02_01_unrelaxed_rank_3_model_2: 0.9271 0.7486
MurJ_02_01_unrelaxed_rank_4_model_4: 0.8678 0.6848
MurJ_02_01_unrelaxed_rank_5_model_1: 0.9054 0.7377
MurJ_02_02_unrelaxed_rank_1_model_5: 0.9272 0.7347
MurJ_02_02_unrelaxed_rank_2_model_3: 0.9097 0.7648
MurJ_02_02_unrelaxed_rank_3_model_2: 0.9310 0.7479
MurJ_02_02_unrelaxed_rank_4_model_4: 0.9314 0.7425
MurJ_02_02_unrelaxed_rank_5_model_1: 0.9371 0.7437
MurJ_02_03_unrelaxed_rank_1_model_5: 0.9284 0.7384
MurJ_02_03_unrelaxed_rank_2_model_3: 0.9130 0.7474
MurJ_02_03_unrelaxed_rank_3_model_2: 0.9253 0.7519
MurJ_02_03_unrelaxed_rank_4_model_4: 0.8681 0.6822
MurJ_02_03_unrelaxed_rank_5_model_1: 0.9187 0.7498
MurJ_03_01_unrelaxed_rank_1_model_3: 0.9240 0.7424
MurJ_03_01_unrelaxed_rank_2_model_5: 0.9243 0.7407
MurJ_03_01_unrelaxed_rank_3_model_4: 0.9297 0.7280
MurJ_03_01_unrelaxed_rank_4_model_2: 0.9400 0.7428
MurJ_03_01_unrelaxed_rank_5_model_1: 0.8650 0.6747
MurJ_03_02_unrelaxed_rank_1_model_3: 0.9083 0.7338
MurJ_03_02_unrelaxed_rank_2_model_5: 0.9259 0.7394
MurJ_03_02_unrelaxed_rank_3_model_1: 0.9381 0.7318
MurJ_03_02_unrelaxed_rank_4_model_2: 0.9403 0.7358
MurJ_03_02_unrelaxed_rank_5_model_4: 0.9459 0.7291
MurJ_03_03_unrelaxed_rank_1_model_3: 0.9180 0.7385
MurJ_03_03_unrelaxed_rank_2_model_2: 0.9361 0.7299
MurJ_03_03_unrelaxed_rank_3_model_4: 0.8749 0.6737
MurJ_03_03_unrelaxed_rank_4_model_5: 0.8604 0.6763
MurJ_03_03_unrelaxed_rank_5_model_1: 0.8703 0.6796
MurJ_04_01_unrelaxed_rank_1_model_5: 0.7611 0.9340
MurJ_04_01_unrelaxed_rank_2_model_3: 0.7813 0.9092
MurJ_04_01_unrelaxed_rank_3_model_4: 0.7300 0.8388
MurJ_04_01_unrelaxed_rank_4_model_2: 0.7920 0.8981
MurJ_04_01_unrelaxed_rank_5_model_1: 0.7467 0.8271
MurJ_04_02_unrelaxed_rank_1_model_3: 0.7681 0.9242
MurJ_04_02_unrelaxed_rank_2_model_5: 0.7703 0.9287
MurJ_04_02_unrelaxed_rank_3_model_1: 0.8065 0.8909
MurJ_04_02_unrelaxed_rank_4_model_2: 0.8020 0.8872
MurJ_04_02_unrelaxed_rank_5_model_4: 0.7810 0.8957
MurJ_04_03_unrelaxed_rank_1_model_3: 0.7628 0.9201
MurJ_04_03_unrelaxed_rank_2_model_2: 0.7984 0.8897
MurJ_04_03_unrelaxed_rank_3_model_4: 0.7344 0.8378
MurJ_04_03_unrelaxed_rank_4_model_1: 0.7419 0.8149
MurJ_04_03_unrelaxed_rank_5_model_5: 0.7162 0.8427
MurJ_05_01_unrelaxed_rank_1_model_3: 0.7825 0.9073
MurJ_05_01_unrelaxed_rank_2_model_5: 0.8211 0.8670
MurJ_05_01_unrelaxed_rank_3_model_2: 0.8035 0.8972
MurJ_05_01_unrelaxed_rank_4_model_1: 0.8081 0.8926
MurJ_05_01_unrelaxed_rank_5_model_4: 0.7417 0.8443
MurJ_05_02_unrelaxed_rank_1_model_3: 0.7943 0.9004
MurJ_05_02_unrelaxed_rank_2_model_4: 0.7275 0.8623
MurJ_05_02_unrelaxed_rank_3_model_2: 0.8205 0.8772
MurJ_05_02_unrelaxed_rank_4_model_5: 0.7565 0.8028
MurJ_05_02_unrelaxed_rank_5_model_1: 0.7867 0.8960
MurJ_05_03_unrelaxed_rank_1_model_3: 0.7868 0.9037
MurJ_05_03_unrelaxed_rank_2_model_5: 0.8128 0.8752
MurJ_05_03_unrelaxed_rank_3_model_2: 0.8116 0.8873
MurJ_05_03_unrelaxed_rank_4_model_1: 0.8104 0.8885
MurJ_05_03_unrelaxed_rank_5_model_4: 0.7626 0.9231
MurJ_06_01_unrelaxed_rank_1_model_3: 0.7945 0.8992
MurJ_06_01_unrelaxed_rank_2_model_5: 0.8527 0.8295
MurJ_06_01_unrelaxed_rank_3_model_1: 0.8588 0.8351
MurJ_06_01_unrelaxed_rank_4_model_4: 0.8287 0.8415
MurJ_06_01_unrelaxed_rank_5_model_2: 0.8014 0.9037
MurJ_06_02_unrelaxed_rank_1_model_3: 0.7854 0.9119
MurJ_06_02_unrelaxed_rank_2_model_5: 0.8594 0.8235
MurJ_06_02_unrelaxed_rank_3_model_1: 0.8464 0.8480
MurJ_06_02_unrelaxed_rank_4_model_2: 0.8035 0.8973
MurJ_06_02_unrelaxed_rank_5_model_4: 0.7595 0.8138
MurJ_06_03_unrelaxed_rank_1_model_3: 0.7871 0.9097
MurJ_06_03_unrelaxed_rank_2_model_5: 0.8595 0.8191
MurJ_06_03_unrelaxed_rank_3_model_1: 0.8484 0.8506
MurJ_06_03_unrelaxed_rank_4_model_4: 0.8398 0.8471
MurJ_06_03_unrelaxed_rank_5_model_2: 0.8151 0.8855
MurJ_07_01_unrelaxed_rank_1_model_3: 0.7910 0.8947
MurJ_07_01_unrelaxed_rank_2_model_4: 0.8343 0.8489
MurJ_07_01_unrelaxed_rank_3_model_5: 0.8383 0.8478
MurJ_07_01_unrelaxed_rank_4_model_2: 0.8314 0.8657
MurJ_07_01_unrelaxed_rank_5_model_1: 0.8203 0.8480
MurJ_07_02_unrelaxed_rank_1_model_4: 0.8322 0.8504
MurJ_07_02_unrelaxed_rank_2_model_3: 0.8012 0.8734
MurJ_07_02_unrelaxed_rank_3_model_5: 0.8384 0.8438
MurJ_07_02_unrelaxed_rank_4_model_1: 0.8437 0.8487
MurJ_07_02_unrelaxed_rank_5_model_2: 0.8353 0.8588
MurJ_07_03_unrelaxed_rank_1_model_5: 0.8487 0.8201
MurJ_07_03_unrelaxed_rank_2_model_3: 0.8273 0.8570
MurJ_07_03_unrelaxed_rank_3_model_4: 0.7685 0.7817
MurJ_07_03_unrelaxed_rank_4_model_2: 0.8332 0.8615
MurJ_07_03_unrelaxed_rank_5_model_1: 0.7723 0.7923
MurJ_08_01_unrelaxed_rank_1_model_5: 0.8663 0.8151
MurJ_08_01_unrelaxed_rank_2_model_3: 0.7842 0.9118
MurJ_08_01_unrelaxed_rank_3_model_2: 0.7853 0.9251
MurJ_08_01_unrelaxed_rank_4_model_4: 0.7887 0.7754
MurJ_08_01_unrelaxed_rank_5_model_1: 0.7514 0.8293
MurJ_08_02_unrelaxed_rank_1_model_3: 0.8052 0.8886
MurJ_08_02_unrelaxed_rank_2_model_5: 0.8532 0.8326
MurJ_08_02_unrelaxed_rank_3_model_4: 0.7830 0.7825
MurJ_08_02_unrelaxed_rank_4_model_2: 0.8049 0.8945
MurJ_08_02_unrelaxed_rank_5_model_1: 0.8248 0.8590
MurJ_08_03_unrelaxed_rank_1_model_5: 0.8702 0.8122
MurJ_08_03_unrelaxed_rank_2_model_4: 0.8457 0.8335
MurJ_08_03_unrelaxed_rank_3_model_3: 0.7822 0.9091
MurJ_08_03_unrelaxed_rank_4_model_2: 0.7884 0.9137
MurJ_08_03_unrelaxed_rank_5_model_1: 0.8115 0.8870
MurJ_09_01_unrelaxed_rank_1_model_5: 0.9444 0.7360
MurJ_09_01_unrelaxed_rank_2_model_4: 0.9498 0.7255
MurJ_09_01_unrelaxed_rank_3_model_3: 0.7548 0.9280
MurJ_09_01_unrelaxed_rank_4_model_2: 0.7825 0.9071
MurJ_09_01_unrelaxed_rank_5_model_1: 0.7879 0.9054
MurJ_09_02_unrelaxed_rank_1_model_5: 0.9385 0.7370
MurJ_09_02_unrelaxed_rank_2_model_4: 0.9449 0.7287
MurJ_09_02_unrelaxed_rank_3_model_3: 0.7468 0.9395
MurJ_09_02_unrelaxed_rank_4_model_2: 0.7681 0.9157
MurJ_09_02_unrelaxed_rank_5_model_1: 0.8777 0.8034
MurJ_09_03_unrelaxed_rank_1_model_5: 0.9338 0.7318
MurJ_09_03_unrelaxed_rank_2_model_3: 0.7440 0.9346
MurJ_09_03_unrelaxed_rank_3_model_4: 0.9450 0.7200
MurJ_09_03_unrelaxed_rank_4_model_1: 0.9537 0.7236
MurJ_09_03_unrelaxed_rank_5_model_2: 0.7646 0.9214
MurJ_10_01_unrelaxed_rank_1_model_3: 0.9507 0.7385
MurJ_10_01_unrelaxed_rank_2_model_5: 0.8791 0.6894
MurJ_10_01_unrelaxed_rank_3_model_4: 0.7818 0.7951
MurJ_10_01_unrelaxed_rank_4_model_2: 0.7822 0.9114
MurJ_10_01_unrelaxed_rank_5_model_1: 0.9268 0.7183
MurJ_10_02_unrelaxed_rank_1_model_5: 0.9501 0.7315
MurJ_10_02_unrelaxed_rank_2_model_2: 0.9472 0.7467
