[0.84737]: 7kntr 6uvar
CGRPR_00_01_unrelaxed_rank_1_model_3: 0.8304 0.9046
CGRPR_00_01_unrelaxed_rank_2_model_5: 0.8205 0.9043
CGRPR_00_01_unrelaxed_rank_3_model_4: 0.8373 0.8938
CGRPR_00_01_unrelaxed_rank_4_model_2: 0.8226 0.9103
CGRPR_00_01_unrelaxed_rank_5_model_1: 0.8318 0.9022
CGRPR_00_02_unrelaxed_rank_1_model_3: 0.8264 0.9086
CGRPR_00_02_unrelaxed_rank_2_model_1: 0.8316 0.9063
CGRPR_00_02_unrelaxed_rank_3_model_2: 0.8255 0.9088
CGRPR_00_02_unrelaxed_rank_4_model_4: 0.8397 0.8910
CGRPR_00_02_unrelaxed_rank_5_model_5: 0.8268 0.8978
CGRPR_00_03_unrelaxed_rank_1_model_3: 0.8288 0.9088
CGRPR_00_03_unrelaxed_rank_2_model_4: 0.8345 0.9040
CGRPR_00_03_unrelaxed_rank_3_model_5: 0.8261 0.9054
CGRPR_00_03_unrelaxed_rank_4_model_2: 0.8244 0.9089
CGRPR_00_03_unrelaxed_rank_5_model_1: 0.7282 0.7554
CGRPR_01_01_unrelaxed_rank_1_model_3: 0.8126 0.8735
CGRPR_01_01_unrelaxed_rank_2_model_5: 0.8173 0.8698
CGRPR_01_01_unrelaxed_rank_3_model_4: 0.8237 0.8696
CGRPR_01_01_unrelaxed_rank_4_model_1: 0.7091 0.7107
CGRPR_01_01_unrelaxed_rank_5_model_2: 0.7958 0.8701
CGRPR_01_02_unrelaxed_rank_1_model_3: 0.8085 0.8687
CGRPR_01_02_unrelaxed_rank_2_model_5: 0.8176 0.8702
CGRPR_01_02_unrelaxed_rank_3_model_4: 0.8197 0.8730
CGRPR_01_02_unrelaxed_rank_4_model_1: 0.8117 0.8744
CGRPR_01_02_unrelaxed_rank_5_model_2: 0.7948 0.8728
CGRPR_01_03_unrelaxed_rank_1_model_3: 0.8146 0.8691
CGRPR_01_03_unrelaxed_rank_2_model_1: 0.8132 0.8760
CGRPR_01_03_unrelaxed_rank_3_model_5: 0.8163 0.8753
CGRPR_01_03_unrelaxed_rank_4_model_2: 0.7977 0.8743
CGRPR_01_03_unrelaxed_rank_5_model_4: 0.8230 0.8670
CGRPR_03_01_unrelaxed_rank_1_model_5: 0.8051 0.8855
CGRPR_03_01_unrelaxed_rank_2_model_3: 0.8124 0.8822
CGRPR_03_01_unrelaxed_rank_3_model_1: 0.7373 0.7550
CGRPR_03_01_unrelaxed_rank_4_model_2: 0.8133 0.8976
CGRPR_03_01_unrelaxed_rank_5_model_4: 0.7879 0.8415
CGRPR_03_02_unrelaxed_rank_1_model_1: 0.7389 0.7751
CGRPR_03_02_unrelaxed_rank_2_model_3: 0.8069 0.8914
CGRPR_03_02_unrelaxed_rank_3_model_4: 0.7993 0.8564
CGRPR_03_02_unrelaxed_rank_4_model_5: 0.7985 0.8665
CGRPR_03_02_unrelaxed_rank_5_model_2: 0.8101 0.8956
CGRPR_03_03_unrelaxed_rank_1_model_3: 0.8145 0.8963
CGRPR_03_03_unrelaxed_rank_2_model_5: 0.8031 0.8834
CGRPR_03_03_unrelaxed_rank_3_model_1: 0.7342 0.7519
CGRPR_03_03_unrelaxed_rank_4_model_4: 0.7883 0.8420
CGRPR_03_03_unrelaxed_rank_5_model_2: 0.8146 0.8970
CGRPR_04_01_unrelaxed_rank_1_model_3: 0.8327 0.8989
CGRPR_04_01_unrelaxed_rank_2_model_1: 0.8329 0.9014
CGRPR_04_01_unrelaxed_rank_3_model_4: 0.8386 0.8945
CGRPR_04_01_unrelaxed_rank_4_model_5: 0.8337 0.9043
CGRPR_04_01_unrelaxed_rank_5_model_2: 0.8317 0.9079
CGRPR_04_02_unrelaxed_rank_1_model_3: 0.8245 0.9036
CGRPR_04_02_unrelaxed_rank_2_model_4: 0.8365 0.9013
CGRPR_04_02_unrelaxed_rank_3_model_1: 0.8322 0.9065
CGRPR_04_02_unrelaxed_rank_4_model_2: 0.8286 0.9087
CGRPR_04_02_unrelaxed_rank_5_model_5: 0.8295 0.9087
CGRPR_04_03_unrelaxed_rank_1_model_3: 0.8284 0.8992
CGRPR_04_03_unrelaxed_rank_2_model_4: 0.8368 0.8957
CGRPR_04_03_unrelaxed_rank_3_model_1: 0.8318 0.9030
CGRPR_04_03_unrelaxed_rank_4_model_2: 0.8313 0.9072
CGRPR_04_03_unrelaxed_rank_5_model_5: 0.8316 0.9088
CGRPR_07_01_unrelaxed_rank_1_model_3: 0.8296 0.8888
CGRPR_07_01_unrelaxed_rank_2_model_4: 0.8368 0.8930
CGRPR_07_01_unrelaxed_rank_3_model_1: 0.8294 0.9038
CGRPR_07_01_unrelaxed_rank_4_model_2: 0.8135 0.8952
CGRPR_07_01_unrelaxed_rank_5_model_5: 0.8133 0.8789
CGRPR_07_02_unrelaxed_rank_1_model_3: 0.8267 0.8885
CGRPR_07_02_unrelaxed_rank_2_model_1: 0.8262 0.9022
CGRPR_07_02_unrelaxed_rank_3_model_5: 0.8175 0.8868
CGRPR_07_02_unrelaxed_rank_4_model_2: 0.8160 0.8915
CGRPR_07_02_unrelaxed_rank_5_model_4: 0.8475 0.8879
CGRPR_07_03_unrelaxed_rank_1_model_3: 0.8249 0.8973
CGRPR_07_03_unrelaxed_rank_2_model_2: 0.8131 0.8974
CGRPR_07_03_unrelaxed_rank_3_model_5: 0.8152 0.8859
CGRPR_07_03_unrelaxed_rank_4_model_1: 0.7169 0.7264
CGRPR_07_03_unrelaxed_rank_5_model_4: 0.8424 0.8827
CGRPR_08_01_unrelaxed_rank_1_model_3: 0.8057 0.8805
CGRPR_08_01_unrelaxed_rank_2_model_2: 0.8012 0.8780
CGRPR_08_01_unrelaxed_rank_3_model_4: 0.8122 0.8681
CGRPR_08_01_unrelaxed_rank_4_model_1: 0.7051 0.7366
CGRPR_08_01_unrelaxed_rank_5_model_5: 0.7999 0.8684
CGRPR_08_02_unrelaxed_rank_1_model_3: 0.8047 0.8839
CGRPR_08_02_unrelaxed_rank_2_model_4: 0.8122 0.8775
CGRPR_08_02_unrelaxed_rank_3_model_5: 0.8047 0.8702
CGRPR_08_02_unrelaxed_rank_4_model_2: 0.7976 0.8808
CGRPR_08_02_unrelaxed_rank_5_model_1: 0.7032 0.7164
CGRPR_08_03_unrelaxed_rank_1_model_3: 0.8048 0.8750
CGRPR_08_03_unrelaxed_rank_2_model_5: 0.8012 0.8781
CGRPR_08_03_unrelaxed_rank_3_model_2: 0.7994 0.8791
CGRPR_08_03_unrelaxed_rank_4_model_4: 0.8213 0.8609
CGRPR_08_03_unrelaxed_rank_5_model_1: 0.7017 0.7092
CGRPR_11_01_unrelaxed_rank_1_model_3: 0.8272 0.9013
CGRPR_11_01_unrelaxed_rank_2_model_4: 0.8390 0.8843
CGRPR_11_01_unrelaxed_rank_3_model_5: 0.8294 0.8991
CGRPR_11_01_unrelaxed_rank_4_model_1: 0.7372 0.7660
CGRPR_11_01_unrelaxed_rank_5_model_2: 0.8206 0.9062
CGRPR_11_02_unrelaxed_rank_1_model_3: 0.8236 0.9016
CGRPR_11_02_unrelaxed_rank_2_model_2: 0.8233 0.9062
CGRPR_11_02_unrelaxed_rank_3_model_4: 0.8305 0.8935
CGRPR_11_02_unrelaxed_rank_4_model_5: 0.8293 0.9021
CGRPR_11_02_unrelaxed_rank_5_model_1: 0.7793 0.8009
CGRPR_11_03_unrelaxed_rank_1_model_3: 0.8287 0.9013
CGRPR_11_03_unrelaxed_rank_2_model_4: 0.8309 0.8997
CGRPR_11_03_unrelaxed_rank_3_model_2: 0.8269 0.9064
CGRPR_11_03_unrelaxed_rank_4_model_5: 0.8254 0.9053
CGRPR_11_03_unrelaxed_rank_5_model_1: 0.7083 0.7270
CGRPR_12_01_unrelaxed_rank_1_model_3: 0.8247 0.9068
CGRPR_12_01_unrelaxed_rank_2_model_2: 0.8187 0.9103
CGRPR_12_01_unrelaxed_rank_3_model_4: 0.8301 0.8960
CGRPR_12_01_unrelaxed_rank_4_model_5: 0.8302 0.8956
CGRPR_12_01_unrelaxed_rank_5_model_1: 0.7280 0.7382
