[0.83469]: 6nbfp 6fj3p
PTH1R_00_01_unrelaxed_rank_1_model_3: 0.9106 0.8625
PTH1R_00_01_unrelaxed_rank_2_model_1: 0.9434 0.8711
PTH1R_00_01_unrelaxed_rank_3_model_4: 0.9177 0.8730
PTH1R_00_01_unrelaxed_rank_4_model_5: 0.9342 0.8656
PTH1R_00_01_unrelaxed_rank_5_model_2: 0.9167 0.8575
PTH1R_00_02_unrelaxed_rank_1_model_3: 0.9139 0.8649
PTH1R_00_02_unrelaxed_rank_2_model_4: 0.9176 0.8699
PTH1R_00_02_unrelaxed_rank_3_model_1: 0.9408 0.8724
PTH1R_00_02_unrelaxed_rank_4_model_2: 0.9292 0.8437
PTH1R_00_02_unrelaxed_rank_5_model_5: 0.9237 0.8685
PTH1R_00_03_unrelaxed_rank_1_model_3: 0.9144 0.8643
PTH1R_00_03_unrelaxed_rank_2_model_1: 0.9428 0.8713
PTH1R_00_03_unrelaxed_rank_3_model_5: 0.9198 0.8763
PTH1R_00_03_unrelaxed_rank_4_model_4: 0.9161 0.8719
PTH1R_00_03_unrelaxed_rank_5_model_2: 0.9172 0.8529
PTH1R_01_01_unrelaxed_rank_1_model_1: 0.9226 0.8238
PTH1R_01_01_unrelaxed_rank_2_model_3: 0.8582 0.8607
PTH1R_01_01_unrelaxed_rank_3_model_5: 0.8903 0.8442
PTH1R_01_01_unrelaxed_rank_4_model_4: 0.8703 0.8487
PTH1R_01_01_unrelaxed_rank_5_model_2: 0.8927 0.8382
PTH1R_01_02_unrelaxed_rank_1_model_3: 0.8623 0.8668
PTH1R_01_02_unrelaxed_rank_2_model_1: 0.8038 0.7653
PTH1R_01_02_unrelaxed_rank_3_model_5: 0.8889 0.8426
PTH1R_01_02_unrelaxed_rank_4_model_4: 0.8734 0.8419
PTH1R_01_02_unrelaxed_rank_5_model_2: 0.8942 0.8337
PTH1R_01_03_unrelaxed_rank_1_model_3: 0.8616 0.8649
PTH1R_01_03_unrelaxed_rank_2_model_5: 0.8894 0.8450
PTH1R_01_03_unrelaxed_rank_3_model_1: 0.8010 0.7659
PTH1R_01_03_unrelaxed_rank_4_model_4: 0.8735 0.8421
PTH1R_01_03_unrelaxed_rank_5_model_2: 0.8870 0.8382
PTH1R_03_01_unrelaxed_rank_1_model_1: 0.9304 0.8517
PTH1R_03_01_unrelaxed_rank_2_model_3: 0.9223 0.8406
PTH1R_03_01_unrelaxed_rank_3_model_5: 0.9372 0.8267
PTH1R_03_01_unrelaxed_rank_4_model_4: 0.9061 0.8502
PTH1R_03_01_unrelaxed_rank_5_model_2: 0.9262 0.8239
PTH1R_03_02_unrelaxed_rank_1_model_3: 0.9086 0.8582
PTH1R_03_02_unrelaxed_rank_2_model_1: 0.9174 0.8641
PTH1R_03_02_unrelaxed_rank_3_model_4: 0.9078 0.8574
PTH1R_03_02_unrelaxed_rank_4_model_2: 0.9069 0.8388
PTH1R_03_02_unrelaxed_rank_5_model_5: 0.9266 0.8431
PTH1R_03_03_unrelaxed_rank_1_model_3: 0.9405 0.8380
PTH1R_03_03_unrelaxed_rank_2_model_1: 0.9318 0.8526
PTH1R_03_03_unrelaxed_rank_3_model_4: 0.9163 0.8494
PTH1R_03_03_unrelaxed_rank_4_model_5: 0.9337 0.8382
PTH1R_03_03_unrelaxed_rank_5_model_2: 0.9094 0.8393
PTH1R_04_01_unrelaxed_rank_1_model_3: 0.8840 0.8397
PTH1R_04_01_unrelaxed_rank_2_model_1: 0.8920 0.8610
PTH1R_04_01_unrelaxed_rank_3_model_4: 0.8816 0.8566
PTH1R_04_01_unrelaxed_rank_4_model_5: 0.8824 0.8603
PTH1R_04_01_unrelaxed_rank_5_model_2: 0.8796 0.8539
PTH1R_04_02_unrelaxed_rank_1_model_3: 0.8665 0.8428
PTH1R_04_02_unrelaxed_rank_2_model_1: 0.9033 0.8692
PTH1R_04_02_unrelaxed_rank_3_model_4: 0.8862 0.8624
PTH1R_04_02_unrelaxed_rank_4_model_5: 0.8911 0.8567
PTH1R_04_02_unrelaxed_rank_5_model_2: 0.8909 0.8569
PTH1R_04_03_unrelaxed_rank_1_model_3: 0.8804 0.8357
PTH1R_04_03_unrelaxed_rank_2_model_1: 0.8992 0.8646
PTH1R_04_03_unrelaxed_rank_3_model_5: 0.8892 0.8556
PTH1R_04_03_unrelaxed_rank_4_model_4: 0.8718 0.8584
PTH1R_04_03_unrelaxed_rank_5_model_2: 0.8875 0.8563
PTH1R_06_01_unrelaxed_rank_1_model_3: 0.9030 0.8734
PTH1R_06_01_unrelaxed_rank_2_model_1: 0.9358 0.8765
PTH1R_06_01_unrelaxed_rank_3_model_4: 0.9081 0.8782
PTH1R_06_01_unrelaxed_rank_4_model_5: 0.9272 0.8637
PTH1R_06_01_unrelaxed_rank_5_model_2: 0.9186 0.8550
PTH1R_06_02_unrelaxed_rank_1_model_3: 0.9020 0.8732
PTH1R_06_02_unrelaxed_rank_2_model_1: 0.9370 0.8760
PTH1R_06_02_unrelaxed_rank_3_model_4: 0.9072 0.8750
PTH1R_06_02_unrelaxed_rank_4_model_5: 0.9341 0.8680
PTH1R_06_02_unrelaxed_rank_5_model_2: 0.9155 0.8551
PTH1R_06_03_unrelaxed_rank_1_model_3: 0.9029 0.8678
PTH1R_06_03_unrelaxed_rank_2_model_1: 0.9374 0.8755
PTH1R_06_03_unrelaxed_rank_3_model_4: 0.9074 0.8777
PTH1R_06_03_unrelaxed_rank_4_model_5: 0.9211 0.8725
PTH1R_06_03_unrelaxed_rank_5_model_2: 0.9263 0.8375
PTH1R_07_01_unrelaxed_rank_1_model_3: 0.9314 0.8528
