excluded sets [ 7  9 10 13 16 19 24]
1BA2_00_01_unrelaxed_rank_1_model_1:  1.97
1BA2_00_01_unrelaxed_rank_2_model_4:  2.21
1BA2_00_01_unrelaxed_rank_3_model_2:  2.06
1BA2_00_01_unrelaxed_rank_4_model_3:  2.34
1BA2_00_01_unrelaxed_rank_5_model_5:  2.42
1BA2_00_02_unrelaxed_rank_1_model_4:  2.19
1BA2_00_02_unrelaxed_rank_2_model_1:  2.02
1BA2_00_02_unrelaxed_rank_3_model_2:  2.07
1BA2_00_02_unrelaxed_rank_4_model_3:  2.23
1BA2_00_02_unrelaxed_rank_5_model_5:  2.38
1BA2_00_03_unrelaxed_rank_1_model_4:  2.16
1BA2_00_03_unrelaxed_rank_2_model_1:  2.00
1BA2_00_03_unrelaxed_rank_3_model_2:  2.09
1BA2_00_03_unrelaxed_rank_4_model_3:  2.29
1BA2_00_03_unrelaxed_rank_5_model_5:  2.62
1BA2_01_01_unrelaxed_rank_1_model_5:  2.55
1BA2_01_01_unrelaxed_rank_2_model_3:  2.36
1BA2_01_01_unrelaxed_rank_3_model_1:  2.47
1BA2_01_01_unrelaxed_rank_4_model_4:  2.39
1BA2_01_01_unrelaxed_rank_5_model_2:  2.27
1BA2_01_02_unrelaxed_rank_1_model_3:  2.36
1BA2_01_02_unrelaxed_rank_2_model_1:  2.47
1BA2_01_02_unrelaxed_rank_3_model_5:  2.58
1BA2_01_02_unrelaxed_rank_4_model_4:  2.50
1BA2_01_02_unrelaxed_rank_5_model_2:  2.53
1BA2_01_03_unrelaxed_rank_1_model_3:  2.69
1BA2_01_03_unrelaxed_rank_2_model_1:  2.33
1BA2_01_03_unrelaxed_rank_3_model_5:  2.51
1BA2_01_03_unrelaxed_rank_4_model_2:  2.31
1BA2_01_03_unrelaxed_rank_5_model_4:  2.74
1BA2_02_01_unrelaxed_rank_1_model_1:  2.25
1BA2_02_01_unrelaxed_rank_2_model_4:  2.31
1BA2_02_01_unrelaxed_rank_3_model_2:  2.28
1BA2_02_01_unrelaxed_rank_4_model_3:  2.48
1BA2_02_01_unrelaxed_rank_5_model_5:  2.55
1BA2_02_02_unrelaxed_rank_1_model_2:  2.27
1BA2_02_02_unrelaxed_rank_2_model_3:  2.54
1BA2_02_02_unrelaxed_rank_3_model_4:  2.22
1BA2_02_02_unrelaxed_rank_4_model_5:  2.32
1BA2_02_02_unrelaxed_rank_5_model_1:  2.38
1BA2_02_03_unrelaxed_rank_1_model_1:  1.92
1BA2_02_03_unrelaxed_rank_2_model_2:  2.21
1BA2_02_03_unrelaxed_rank_3_model_3:  2.39
1BA2_02_03_unrelaxed_rank_4_model_4:  2.13
1BA2_02_03_unrelaxed_rank_5_model_5:  2.56
1BA2_03_01_unrelaxed_rank_1_model_1:  2.03
1BA2_03_01_unrelaxed_rank_2_model_4:  2.21
1BA2_03_01_unrelaxed_rank_3_model_2:  2.17
1BA2_03_01_unrelaxed_rank_4_model_3:  2.29
1BA2_03_01_unrelaxed_rank_5_model_5:  2.45
1BA2_03_02_unrelaxed_rank_1_model_4:  1.97
1BA2_03_02_unrelaxed_rank_2_model_2:  2.19
1BA2_03_02_unrelaxed_rank_3_model_3:  2.31
1BA2_03_02_unrelaxed_rank_4_model_1:  2.09
1BA2_03_02_unrelaxed_rank_5_model_5:  2.34
1BA2_03_03_unrelaxed_rank_1_model_1:  2.00
1BA2_03_03_unrelaxed_rank_2_model_4:  2.11
1BA2_03_03_unrelaxed_rank_3_model_2:  2.16
1BA2_03_03_unrelaxed_rank_4_model_3:  2.32
1BA2_03_03_unrelaxed_rank_5_model_5:  2.40
1BA2_04_01_unrelaxed_rank_1_model_3:  2.49
1BA2_04_01_unrelaxed_rank_2_model_4:  2.24
1BA2_04_01_unrelaxed_rank_3_model_1:  2.20
1BA2_04_01_unrelaxed_rank_4_model_2:  2.32
1BA2_04_01_unrelaxed_rank_5_model_5:  2.34
1BA2_04_02_unrelaxed_rank_1_model_3:  2.45
1BA2_04_02_unrelaxed_rank_2_model_2:  2.25
1BA2_04_02_unrelaxed_rank_3_model_4:  2.28
1BA2_04_02_unrelaxed_rank_4_model_1:  2.20
1BA2_04_02_unrelaxed_rank_5_model_5:  2.47
1BA2_04_03_unrelaxed_rank_1_model_3:  2.24
1BA2_04_03_unrelaxed_rank_2_model_2:  2.14
1BA2_04_03_unrelaxed_rank_3_model_1:  2.16
1BA2_04_03_unrelaxed_rank_4_model_4:  2.15
1BA2_04_03_unrelaxed_rank_5_model_5:  2.16
1BA2_05_01_unrelaxed_rank_1_model_1:  2.21
1BA2_05_01_unrelaxed_rank_2_model_2:  2.24
1BA2_05_01_unrelaxed_rank_3_model_4:  2.11
1BA2_05_01_unrelaxed_rank_4_model_5:  2.60
1BA2_05_01_unrelaxed_rank_5_model_3:  2.24
1BA2_05_02_unrelaxed_rank_1_model_2:  2.11
1BA2_05_02_unrelaxed_rank_2_model_4:  2.21
1BA2_05_02_unrelaxed_rank_3_model_3:  2.24
1BA2_05_02_unrelaxed_rank_4_model_1:  2.13
1BA2_05_02_unrelaxed_rank_5_model_5:  2.43
1BA2_05_03_unrelaxed_rank_1_model_4:  2.19
1BA2_05_03_unrelaxed_rank_2_model_5:  2.55
1BA2_05_03_unrelaxed_rank_3_model_3:  2.22
1BA2_05_03_unrelaxed_rank_4_model_2:  2.29
1BA2_05_03_unrelaxed_rank_5_model_1:  2.01
1BA2_06_01_unrelaxed_rank_1_model_4:  2.27
1BA2_06_01_unrelaxed_rank_2_model_3:  2.54
1BA2_06_01_unrelaxed_rank_3_model_2:  2.24
1BA2_06_01_unrelaxed_rank_4_model_1:  2.19
1BA2_06_01_unrelaxed_rank_5_model_5:  2.56
1BA2_06_02_unrelaxed_rank_1_model_4:  2.21
1BA2_06_02_unrelaxed_rank_2_model_3:  2.52
1BA2_06_02_unrelaxed_rank_3_model_2:  2.15
1BA2_06_02_unrelaxed_rank_4_model_1:  2.13
1BA2_06_02_unrelaxed_rank_5_model_5:  2.59
1BA2_06_03_unrelaxed_rank_1_model_4:  2.20
1BA2_06_03_unrelaxed_rank_2_model_2:  2.30
1BA2_06_03_unrelaxed_rank_3_model_3:  2.57
1BA2_06_03_unrelaxed_rank_4_model_1:  2.32
1BA2_06_03_unrelaxed_rank_5_model_5:  2.34
1BA2_08_01_unrelaxed_rank_1_model_4:  2.26
1BA2_08_01_unrelaxed_rank_2_model_5:  2.60
1BA2_08_01_unrelaxed_rank_3_model_3:  2.56
1BA2_08_01_unrelaxed_rank_4_model_1:  2.31
1BA2_08_01_unrelaxed_rank_5_model_2:  2.24
1BA2_08_02_unrelaxed_rank_1_model_2:  2.28
1BA2_08_02_unrelaxed_rank_2_model_4:  2.13
1BA2_08_02_unrelaxed_rank_3_model_3:  2.27
1BA2_08_02_unrelaxed_rank_4_model_1:  2.35
1BA2_08_02_unrelaxed_rank_5_model_5:  2.34
1BA2_08_03_unrelaxed_rank_1_model_3:  2.36
1BA2_08_03_unrelaxed_rank_2_model_1:  2.06
1BA2_08_03_unrelaxed_rank_3_model_4:  2.34
1BA2_08_03_unrelaxed_rank_4_model_5:  2.35
1BA2_08_03_unrelaxed_rank_5_model_2:  2.28
1BA2_11_01_unrelaxed_rank_1_model_3:  2.52
1BA2_11_01_unrelaxed_rank_2_model_1:  2.48
1BA2_11_01_unrelaxed_rank_3_model_2:  2.59
1BA2_11_01_unrelaxed_rank_4_model_4:  2.41
1BA2_11_01_unrelaxed_rank_5_model_5:  2.77
1BA2_11_02_unrelaxed_rank_1_model_3:  2.35
1BA2_11_02_unrelaxed_rank_2_model_1:  2.34
1BA2_11_02_unrelaxed_rank_3_model_2:  2.53
1BA2_11_02_unrelaxed_rank_4_model_4:  2.52
1BA2_11_02_unrelaxed_rank_5_model_5:  2.71
1BA2_11_03_unrelaxed_rank_1_model_3:  2.43
1BA2_11_03_unrelaxed_rank_2_model_1:  2.63
1BA2_11_03_unrelaxed_rank_3_model_2:  2.55
1BA2_11_03_unrelaxed_rank_4_model_4:  2.38
1BA2_11_03_unrelaxed_rank_5_model_5:  2.81
1BA2_12_01_unrelaxed_rank_1_model_1:  1.99
1BA2_12_01_unrelaxed_rank_2_model_2:  2.09
1BA2_12_01_unrelaxed_rank_3_model_4:  2.08
1BA2_12_01_unrelaxed_rank_4_model_3:  2.11
1BA2_12_01_unrelaxed_rank_5_model_5:  2.58
1BA2_12_02_unrelaxed_rank_1_model_1:  2.01
1BA2_12_02_unrelaxed_rank_2_model_2:  1.96
1BA2_12_02_unrelaxed_rank_3_model_4:  2.07
1BA2_12_02_unrelaxed_rank_4_model_3:  2.25
1BA2_12_02_unrelaxed_rank_5_model_5:  2.36
1BA2_12_03_unrelaxed_rank_1_model_2:  1.90
1BA2_12_03_unrelaxed_rank_2_model_1:  2.09
1BA2_12_03_unrelaxed_rank_3_model_4:  2.03
1BA2_12_03_unrelaxed_rank_4_model_3:  2.24
1BA2_12_03_unrelaxed_rank_5_model_5:  2.51
1BA2_14_01_unrelaxed_rank_1_model_4:  2.27
1BA2_14_01_unrelaxed_rank_2_model_2:  2.18
1BA2_14_01_unrelaxed_rank_3_model_1:  2.01
1BA2_14_01_unrelaxed_rank_4_model_3:  2.22
1BA2_14_01_unrelaxed_rank_5_model_5:  2.33
1BA2_14_02_unrelaxed_rank_1_model_4:  2.26
1BA2_14_02_unrelaxed_rank_2_model_1:  2.05
1BA2_14_02_unrelaxed_rank_3_model_3:  2.12
1BA2_14_02_unrelaxed_rank_4_model_2:  2.14
1BA2_14_02_unrelaxed_rank_5_model_5:  2.37
1BA2_14_03_unrelaxed_rank_1_model_4:  2.30
1BA2_14_03_unrelaxed_rank_2_model_2:  2.16
1BA2_14_03_unrelaxed_rank_3_model_1:  2.18
1BA2_14_03_unrelaxed_rank_4_model_3:  2.32
1BA2_14_03_unrelaxed_rank_5_model_5:  2.68
1BA2_15_01_unrelaxed_rank_1_model_4:  2.15
1BA2_15_01_unrelaxed_rank_2_model_1:  2.11
1BA2_15_01_unrelaxed_rank_3_model_2:  2.11
1BA2_15_01_unrelaxed_rank_4_model_3:  2.44
1BA2_15_01_unrelaxed_rank_5_model_5:  2.43
1BA2_15_02_unrelaxed_rank_1_model_4:  2.01
1BA2_15_02_unrelaxed_rank_2_model_2:  2.09
1BA2_15_02_unrelaxed_rank_3_model_1:  2.01
1BA2_15_02_unrelaxed_rank_4_model_3:  2.30
1BA2_15_02_unrelaxed_rank_5_model_5:  2.32
1BA2_15_03_unrelaxed_rank_1_model_4:  2.26
1BA2_15_03_unrelaxed_rank_2_model_2:  2.17
1BA2_15_03_unrelaxed_rank_3_model_1:  2.21
1BA2_15_03_unrelaxed_rank_4_model_3:  2.25
1BA2_15_03_unrelaxed_rank_5_model_5:  2.49
1BA2_17_01_unrelaxed_rank_1_model_4:  2.27
1BA2_17_01_unrelaxed_rank_2_model_2:  2.26
1BA2_17_01_unrelaxed_rank_3_model_3:  2.16
1BA2_17_01_unrelaxed_rank_4_model_1:  2.08
1BA2_17_01_unrelaxed_rank_5_model_5:  2.50
1BA2_17_02_unrelaxed_rank_1_model_4:  2.26
1BA2_17_02_unrelaxed_rank_2_model_2:  2.05
1BA2_17_02_unrelaxed_rank_3_model_1:  2.18
1BA2_17_02_unrelaxed_rank_4_model_3:  2.39
1BA2_17_02_unrelaxed_rank_5_model_5:  2.40
1BA2_17_03_unrelaxed_rank_1_model_4:  2.14
1BA2_17_03_unrelaxed_rank_2_model_1:  2.30
1BA2_17_03_unrelaxed_rank_3_model_2:  2.16
1BA2_17_03_unrelaxed_rank_4_model_3:  2.19
1BA2_17_03_unrelaxed_rank_5_model_5:  2.29
1BA2_18_01_unrelaxed_rank_1_model_1:  2.10
1BA2_18_01_unrelaxed_rank_2_model_4:  2.15
1BA2_18_01_unrelaxed_rank_3_model_3:  2.31
1BA2_18_01_unrelaxed_rank_4_model_2:  2.45
1BA2_18_01_unrelaxed_rank_5_model_5:  2.60
1BA2_18_02_unrelaxed_rank_1_model_1:  2.22
1BA2_18_02_unrelaxed_rank_2_model_3:  2.31
1BA2_18_02_unrelaxed_rank_3_model_2:  2.46
1BA2_18_02_unrelaxed_rank_4_model_4:  2.52
1BA2_18_02_unrelaxed_rank_5_model_5:  2.67
1BA2_18_03_unrelaxed_rank_1_model_1:  2.18
1BA2_18_03_unrelaxed_rank_2_model_3:  2.23
1BA2_18_03_unrelaxed_rank_3_model_2:  2.40
1BA2_18_03_unrelaxed_rank_4_model_4:  2.53
1BA2_18_03_unrelaxed_rank_5_model_5:  2.60
1BA2_20_01_unrelaxed_rank_1_model_2:  2.42
1BA2_20_01_unrelaxed_rank_2_model_3:  2.53
